energy_consumption,pv_production,wind_turbine_production,ev_charging,energy_storage
51.30034014689471,36.03036792760004,21.485529995764214,14,37.20845141799875
85.12418311159725,36.63801789203817,35.30317595277689,17,16.90434711143227
76.23541399167372,12.147517512018876,24.113319983166537,21,30.907978225688595
94.06835705798773,36.63371611130011,15.66950168045116,24,21.021428688839762
113.05406715388517,39.45040177456467,29.96658488882986,21,16.472919782371438
62.7125591576005,34.170013766356654,24.874085599842257,21,36.17025225162885
76.95052305561124,36.55931321742,24.4825036367696,24,33.53075365991497
84.61406866492499,44.91254416486976,17.89971978602136,23,22.111460289030703
78.11148494012198,16.377578416430005,22.752939426703698,24,20.836750739382563
97.19579543864174,36.38082483200508,32.04128632759615,19,18.04004215010131
67.17795745279844,25.82498658472524,29.698463716206184,17,19.85931489733397
92.17063915326884,21.4664431852172,30.81395218437055,21,35.50271676646099
82.2342003068574,18.925445667783457,37.63129701310958,13,23.861239018823085
92.43805004338178,35.860869644134006,40.640765763767675,29,37.00422798556892
69.84672432515515,33.12167153631211,35.61110903318363,20,24.187685995907948
74.8807643137739,23.179620564649383,39.1491152463563,18,20.71995137897527
107.85542797688773,47.205041408659724,22.12900656866057,24,27.781563059491717
66.90780518382078,44.34821810688426,20.76171819612676,24,23.399671299182923
59.027014401300455,34.44447380843488,23.139856379761007,29,17.258492097674853
75.88520793966498,43.02772097232459,19.40072130069737,21,28.876900348526785
84.33222595729436,39.35711303726663,24.29770546054783,14,37.274155379225874
76.30347405058197,40.125314471317004,8.063831553036149,20,32.48224613886312
103.92268032276688,22.132868490660606,16.823009207323057,15,19.657800590340948
93.13717259737756,27.681230767608966,22.513143329360396,26,30.402763754575883
79.64804126229276,44.04862811127086,17.524254321559877,20,22.76764589516119
105.19147019157913,21.23348456590475,23.035341613609642,25,23.057470501875244
88.33385743915429,20.70654572454913,19.06774972483816,10,29.7001393014688
85.5863304098493,33.47241996831047,31.653432364304685,15,18.026813862943545
79.70308777448888,13.812520330144007,37.149710252098544,26,28.520546153522346
100.73841369662412,25.673630329174436,32.0496401486956,14,25.709354714264666
63.458741294203875,31.813561949780635,20.871432568386183,21,21.227808900328036
96.80086098011795,36.57212574759328,14.956692942116657,15,31.34184844925185
101.85205159641458,33.349606871507724,20.40535092624772,19,25.43271919150333
67.61142907524348,23.139012245819874,19.690165981971255,22,25.78613315965744
96.25776416347485,21.307188519151893,18.560771279050268,14,20.357328291851225
46.31036904997747,39.36914803299412,5.5608641115518935,21,39.89492883694106
59.42838506782617,37.59545944932994,28.680863745732918,22,19.98679773240267
66.19911347598001,19.223209890062265,28.489867439256372,21,25.964366453251017
93.33134319055006,39.97735350298697,28.48020037820288,24,30.940957641314803
32.11808899151801,39.042631128254015,31.020116618133954,15,28.36547369113615
65.11202850811478,52.79735545544042,0.5569125552239171,23,24.897677610632222
101.82240166405988,22.393132485266946,33.94011394546462,13,15.162663943938867
68.43437973334537,34.18792746596044,12.048428535938902,25,28.320611036688526
74.11659370674619,35.13708871940146,17.996027226388424,17,16.153495213093585
73.53777680457505,32.52813291442268,11.578692221146627,20,15.259572468005365
77.3376960276086,25.54811366906808,27.5252496145091,23,35.53042924995928
83.91790616182526,40.40790636381101,22.984553008607673,10,19.231266188217
64.04216133147504,36.907436963137414,33.77137006748022,19,36.705655047246495
59.69245371084177,33.81273249650346,21.62509460071511,18,28.24176042228518
107.37341160955307,51.95467480155395,19.4592684995541,24,32.638172847051294
51.311337693811794,41.91614050938566,19.58982481813751,14,23.24657113241239
101.0123310158317,26.168506322593434,28.46256110984102,21,23.55979567415136
72.81421630620356,29.621484558331606,17.456044359972285,26,36.28279453147863
45.477112092917864,23.790989985923343,23.79560799884448,18,30.315586616878512
92.16745539476622,24.022950714737036,24.20579567006351,14,20.214166339045956
104.86398492459958,33.874811977705946,13.928633491384804,19,37.11494614049026
112.82233174419159,23.067370755668435,11.899252871966407,21,24.635055275682273
104.55455729530775,20.82589801620597,39.589337246649215,15,36.69994399052158
87.72905104155636,27.660424958188944,31.78311711057402,22,37.890479075101176
54.49586974591316,31.13204886283157,23.842933423786217,17,29.344530881536624
